key,en,th
STORY_L2_RADIO_02,"The canopy is closing behind you. Keep an extraction lane open.","เรือนยอดกำลังปิดทางด้านหลัง รักษาช่องถอนกำลังไว้"
STORY_L2_RADIO_03,"The signal converges ahead. The bloom is acting as a transmitter.","สัญญาณรวมกันข้างหน้า บุปผากำลังทำหน้าที่เป็นเครื่องส่ง"
STORY_L2_BOSS_01,"Maw Bloom Sovereign ahead. Shut down the spore broadcast.","พบราชันบุปผาเขมือบ หยุดการแพร่สัญญาณสปอร์"
STORY_L2_DEBRIEF_01,"The controlling pulse originates beneath Capsule 07.","พัลส์ควบคุมมีต้นทางอยู่ใต้ Capsule 07"
STORY_L3_BRIEF_01,"Reach the impact chamber. We need the truth beneath Capsule 07.","ไปให้ถึงห้องใต้จุดตก เราต้องรู้ความจริงใต้ Capsule 07"
STORY_L3_RADIO_01,"The banyan's roots have been grafted into an alien nervous system.","รากต้นไทรถูกเชื่อมเข้ากับระบบประสาทต่างดาว"
STORY_L3_RADIO_02,"The cutter load is climbing. Those roots are reinforcing each other.","ภาระเครื่องตัดกำลังสูงขึ้น รากพวกนั้นกำลังเสริมกันเอง"
STORY_L3_RADIO_03,"This chamber is not wreckage. It is an active germination bed.","ห้องนี้ไม่ใช่ซาก มันคือแหล่งเพาะงอกที่ยังทำงาน"
STORY_L3_BOSS_01,"The Possessed Banyan is sealing the chamber. Break the connection.","ต้นไทรสิงสู่กำลังปิดห้อง ตัดการเชื่อมต่อให้ขาด"
STORY_L3_DEBRIEF_01,"It did not crash here. It planted itself—a seed, relay, and planetary harvester.","มันไม่ได้ตกที่นี่ มันปลูกตัวเอง—เป็นทั้งเมล็ด รีเลย์ และเครื่องเก็บเกี่ยวดาวเคราะห์"
STORY_L4_BRIEF_01,"Enter the marsh and cut the primary nutrient conduit.","เข้าสู่บึงและตัดท่อส่งธาตุอาหารหลัก"
STORY_L4_RADIO_01,"Cut the feeder, and the whole machine has to breathe on its own.","ตัดสายเลี้ยงเสีย แล้วเครื่องทั้งระบบต้องหายใจด้วยตัวเอง"
STORY_L4_RADIO_02,"The marsh water is carrying biomass toward one central organ.","น้ำในบึงกำลังพาชีวมวลไปยังอวัยวะกลางหนึ่งจุด"
STORY_L4_RADIO_03,"Multiple root heads are moving around the conduit. Hydra contact imminent.","หัวรากหลายหัวกำลังเคลื่อนรอบท่อส่ง ใกล้ปะทะไฮดรา"
STORY_L4_BOSS_01,"Root Hydra on the conduit. Sever every active head.","ไฮดรารากอยู่บนท่อส่ง ตัดหัวที่ทำงานทุกหัว"
STORY_L4_DEBRIEF_01,"The conduit is down, but the stored biomass has awakened a sensory core.","ท่อส่งหยุดแล้ว แต่ชีวมวลสะสมได้ปลุกแกนรับความรู้สึก"
STORY_L5_BRIEF_01,"Assault the nexus and destroy the germination core. This is the final signal.","บุกแกนกลางและทำลายแกนงอก นี่คือสัญญาณสุดท้าย"
STORY_L5_RADIO_01,"The network is looking back. It can predict our approach.","เครือข่ายกำลังมองกลับมา มันคาดเส้นทางของเราได้"
STORY_L5_RADIO_02,"Its armor is recycling root mass. Open the core between pulses.","เกราะของมันกำลังนำมวลรากกลับใช้ เปิดแกนระหว่างจังหวะพัลส์"
STORY_L5_RADIO_03,"End the signal. Let the land answer for itself again.","ยุติสัญญาณนี้ ให้ผืนดินได้ตอบด้วยเสียงของมันเองอีกครั้ง"
STORY_L5_BOSS_01,"Root-Core Eye fully awake. All channels are yours, Operator.","ดวงตาแกนรากตื่นเต็มที่ ทุกช่องสัญญาณเป็นของคุณ เจ้าหน้าที่"
STORY_L5_DEBRIEF_01,"The region is recovering. One dormant fragment remains, but it is silent—for now.","ภูมิภาคกำลังฟื้นตัว ยังมีเศษสัญญาณหลับอยู่หนึ่งจุด แต่มันเงียบ—ในตอนนี้"
